Circonscription,DGE ID
Abitibi-Est,579
Abitibi-Ouest,573
Acadie,437
Anjou-Louis-Riel,373
Argenteuil,535
Arthabaska,323
Beauce-Nord,309
Beauce-Sud,293
Beauharnois,153
Bellechasse,303
Berthier,353
Bertrand,525
Blainville,473
Bonaventure,713
Borduas,243
Bourassa-Sauvé,431
Bourget,377
Brome-Missisquoi,129
Chambly,193
Champlain,593
Chapleau,559
Charlesbourg,619
Charlevoix-Côte-de-Beaupré,679
Châteauguay,173
Chauveau,613
Chicoutimi,763
Chomedey,441
Chutes-de-la-Chaudière,659
Côte-du-Sud,683
Crémazie,433
D'Arcy-McGee,403
Deux-Montagnes,483
Drummond-Bois-Francs,273
Dubuc,759
Duplessis,745
Fabre,443
Gaspé,731
Gatineau,557
Gouin,381
Granby,133
Groulx,481
Hochelaga-Maisonneuve,387
Hull,561
Huntingdon,149
Iberville,143
Îles-de-la-Madeleine,733
Jacques-Cartier,409
Jean-Lesage,623
Jeanne-Mance-Viger,429
Jean-Talon,643
Johnson,269
Joliette,361
Jonquière,773
La Peltrie,603
La Pinière,203
La Prairie,183
Labelle,545
Lac-Saint-Jean,779
LaFontaine,371
Laporte,209
L'Assomption,363
Laurier-Dorion,423
Laval-des-Rapides,439
Laviolette,583
Lévis,663
Lotbinière-Frontenac,289
Louis-Hébert,653
Marguerite-Bourgeoys,399
Marie-Victorin,213
Marquette,407
Maskinongé,349
Masson,465
Matane-Matapédia,711
Mégantic,103
Mercier,383
Mille-Îles,451
Mirabel,495
Montarville,233
Montmorency,673
Mont-Royal,419
Nelligan,411
Nicolet-Bécancour,329
Notre-Dame-de-Grâce,401
Orford,123
Outremont,421
Papineau,553
Pointe-aux-Trembles,369
Pontiac,563
Portneuf,599
René-Lévesque,753
Repentigny,367
Richelieu,253
Richmond,283
Rimouski,703
Rivière-du-Loup-Témiscouata,699
Robert-Baldwin,413
Roberval,783
Rosemont,379
Rousseau,515
Rouyn-Noranda-Témiscamingue,567
Sainte-Marie-Saint-Jacques,389
Sainte-Rose,447
Saint-François,111
Saint-Henri-Sainte-Anne,393
Saint-Hyacinthe,263
Saint-Jean,189
Saint-Jérôme,505
Saint-Laurent,417
Saint-Maurice,343
Sanguinet,177
Sherbrooke,113
Soulanges,163
Taillon,223
Taschereau,633
Terrebonne,453
Trois-Rivières,333
Ungava,793
Vachon,229
Vanier-Les Rivières,639
Vaudreuil,169
Verchères,249
Verdun,397
Viau,427
Vimont,449
Westmount-Saint-Louis,391

